862 124	Yan Zhang
650 16907	Andrew Garland
5420 16911	Daniela Rus
4279 16919	Les Gasser
879 16922	Marie desJardins
445 16932	Joohyung Lee
318 16933	Yuliya Lierler
303 16934	Christopher W. Geib
5379 16942	Vladimir Lifschitz
5216 16952	Ian P. Gent
5035 16953	Holger H. Hoos
4790 16958	Richard S. Sutton
306 16963	Brian P. Gerkey
307 16964	Geoffrey J. Gordon
5109 16966	Cristina Conati
6121 16970	Pat Langley
2358 16973	Lise Getoor
1629 16985	C. Lee Giles
1237 16986	Steve Lawrence
309 16987	Andrew Gilpin
313 16996	Andrea Giovannucci
314 16997	Antonio Reyes-Moro
315 16998	Francesc X. Noria
319 17000	Marco Maratea
4772 17004	David A. McAllester
5204 17006	Simon de Givry
321 17013	Oren Glickman
322 17014	Ido Dagan
323 17015	Moshe Koppel
4541 17016	Matthew R. Glickman
4543 17017	Amir Globerson
4534 17019	Naftali Tishby
7114 17033	Christos H. Papadimitriou
4931 17039	Claudia V. Goldman
5323 17046	Paul H. Morris
1741 17053	J. Ben Schafer
1742 17054	Joseph A. Konstan
10114 17056	Badrul M. Sarwar
758 17057	Jonathan L. Herlocker
1743 17058	John Riedl
7956 17074	Vanathi Gopalakrishnan
2971 17082	Reinhard Pichler
5491 17091	Stacy Marsella
5150 17096	Nancy Green
325 17101	Russell Greiner
5298 17104	Ramana Isukapalli
697 17106	Douglas B. Lenat
5561 17109	Rob Powers
4550 17121	Eugene Grois
9973 17123	Benjamin N. Grosof
5241 17138	Henrik Grosskreutz
841 17143	Dale Schuurmans
5247 17147	Gregory Z. Grudic
4110 17148	Lyle H. Ungar
2894 17154	Carlos Guestrin
6045 17156	Ramanathan V. Guha
326 17164	Yuhong Guo
328 17196	Udo Hahn
329 17197	Korn¨¦l G. Mark¨®
330 17198	Stefan Schulz
333 17209	Asaad Hakeem
334 17210	Mubarak Shah
336 17211	Shou-de Lin
338 17212	Yaser Sheikh
3738 17216	Lawrence O. Hall
340 17218	Daniel T. Halstead
4369 17220	Shashi Shekhar
343 17223	Tracy Hammond
6647 17224	Kyungsook Han
5122 17229	James E. Hanson
580 17230	Jeffrey O. Kephart
5263 17232	Andrew Olney
5243 17240	Sanda M. Harabagiu
7747 17242	V. Finley Lacatusu
345 17249	Stephen Hart
346 17250	Roderic A. Grupen
347 17251	David Jensen
4170 17257	Yuji Matsumoto
7801 17264	Alexander G. Hauptmann
5351 17267	Milos Hauskrecht
662 17281	Sandip Sen
6062 17284	David Heckerman
7516 17285	Eric Horvitz
3173 17302	Joseph L. Hellerstein
9176 17303	T. S. Jayram
5205 17312	Federico Heras
5206 17313	Javier Larrosa
2298 17317	Michael Thielscher
5496 17330	Hiroaki Kitano
8093 17342	Janet L. Kolodner
5728 17345	Katsutoshi Hirayama
3289 17348	Nina Mishra
3728 17349	Leonard Pitt
350 17351	Bret Hoehn
351 17352	Finnegan Southey
352 17353	Valeriy Bulitko
355 17359	David W. Sretavan
357 17365	Alan Holland
2423 17383	Ian Horrocks
9912 17384	Frank van Harmelen
784 17388	David S. Touretzky
1318 17396	Chun-Nan Hsu
5567 17398	Wen-tau Yih
360 17399	Jinbo Huang
5075 17400	Mark Chavira
362 17411	Fei Huang
363 17412	Stephan Vogel
364 17413	Alex Waibel
517 17424	John E. Laird
2231 17436	Joelle Pineau
5276 17440	Aaron Hunter
367 17458	Samuel Ieong
368 17459	Robert McGrew
369 17460	Eugene Nudelman
370 17461	Qixiang Sun
377 17468	Satinder P. Singh
372 17470	Makoto Yokoo
373 17477	Takayuki Ito
374 17480	Atsushi Iwasaki
375 17481	Shigeo Matsubara
7738 17484	Makoto Iwayama
925 17487	Peter Jackson
378 17491	Michael R. James
5307 17497	Jacek Jarmulak
382 17507	Steven Jensen
383 17508	Daniel Boley
5041 17509	Rune M. Jensen
1319 17511	Euna Jeong
385 17515	Doug Strain
5393 17517	Kevin Leyton-Brown
387 17529	Jeffrey Johns
388 17530	Sridhar Mahadevan
391 17534	Mark D. Johnston
393 17542	Chris Jones
5754 17557	Aravind K. Joshi
507 17560	Richard Maclin
396 17568	Darsana P. Josyula
397 17569	Michael L. Anderson
399 17573	Ulrich Junker
458 17577	Olivier Lhomme
2225 17588	Mohammed Waleed Kadous
402 17606	Meir Kalech
1379 17611	Jugal K. Kalita
1350 17628	Jaap Kamps
1820 17633	Dimitris Papadias
405 17639	Rohit J. Kate
406 17640	Yuk Wah Wong
5321 17648	Yongshao Ruan
5847 17650	Steven P. Ketchpel
6344 17675	Thomas L. Griffiths
408 17689	Philip Kilby
409 17690	Sylvie Thi¨¦baux
5330 17693	Kee-Eung Kim
5755 17712	Martha Stone Palmer
412 17715	Brian Kirby
413 17716	Burak Aksak
414 17717	Padmanabhan Pillai
415 17718	James F. Hoburg
416 17719	Todd C. Mowry
417 17720	Seth Copen Goldstein
3986 17724	Ted E. Senator
6233 17727	Henry G. Goldberg
419 17752	Matthew Klenk
420 17753	Hyeonkyeong Kim
421 17754	Brian Kyckelhahn
535 17763	Pragnesh Jay Modi
559 17764	Ion Muslea
4688 17767	Maxim Likhachev
6317 17768	Boleslaw K. Szymanski
4555 17770	Michail G. Lagoudakis
3290 17774	Adam Meyerson
425 17776	Mary Koes
428 17779	Nate Kohl
10171 17786	Sean M. McNee
10172 17787	Cai-Nicolas Ziegler
2425 17818	Manolis Koubarakis
2522 17819	Spiros Skiadopoulos
3770 17825	Stefan Kramer
430 17828	Trausti T. Kristjansson
431 17829	Paul A. Viola
7869 17831	Lun-Wei Ku
2063 17833	Hsin-Hsi Chen
4747 17838	Miroslav Kubat
3893 17840	Jeremy Kubica
3895 17841	Jeff G. Schneider
844 17842	Yiming Yang
433 17860	T. K. Satish Kumar
3733 17861	Vipin Kumar
5476 17867	Dan I. Moldovan
5736 17872	Tessa A. Lau
440 17890	Anagh Lal
631 17894	Kristian Kersting
632 17895	Luc De Raedt
5608 17906	Pedro Meseguer
442 17907	Kate Larson
5749 17935	David Wolpert
5527 17943	David C. Wilson
8775 17991	Kristina Lerman
447 17995	Jure Leskovec
448 17996	Natasa Milic-Frayling
449 17997	Marko Grobelnik
452 18006	Julie Letchner
453 18007	Anthony LaMarca
759 18013	Simone Stumpf
456 18025	Ilya Levner
4215 18027	Marie-Christine Rousset
7213 18028	Anand Rajaraman
460 18031	Jean-Charles R¨¦gin
5017 18032	Pascal Poupart
4654 18036	Xuejun Liao
4655 18037	Lawrence Carin
3724 18038	Jinyan Li
1622 18041	Jian Pei
3457 18042	Guozhu Dong
463 18045	Lin Liao
868 18047	Shimei Pan
4453 18057	Prasad Tadepalli
1416 18074	Wynne Hsu
465 18075	Anton Likhodedov
469 18076	Rong Jin
774 18082	Yaxin Liu
474 18084	Wee Sun Lee
1645 18085	Joo-Hwee Lim
651 18100	Candace L. Sidner
475 18101	Xiaoli Li
674 18104	David Sarne
477 18111	Lengning Liu
6203 18116	Yunhe Pan
860 18118	Yuanlin Zhang
480 18120	GuangCan Liu
481 18121	Xing Zhu
5837 18123	Shai Ben-David
2295 18124	Shengli Sheng
2296 18125	Charles X. Ling
4661 18127	Shichao Zhang
4048 18130	Gary Livingston
483 18135	Lucian Vlad Lita
484 18136	Andrew Hazen Schlaikjer
485 18137	WeiChang Hong
486 18138	Eric Nyberg
7159 18142	Amnon Lotem
488 18145	Victor W. Marek
490 18148	Dimitris Margaritis
492 18158	Kian Hsiang Low
493 18159	Wee Kheng Leow
494 18160	Marcelo H. Ang Jr.
2262 18161	Dragos D. Margineantu
7990 18171	Filippo Menczer
5450 18191	Bhaskara Marthi
497 18203	Paolo Massa
498 18204	Paolo Avesani
5461 18206	John MacIntyre
7939 18208	John Tait
501 18211	Stewart Massie
502 18212	Nirmalie Wiratunga
504 18214	Monaldo Mastrolilli
505 18215	Luca Maria Gambardella
508 18219	Jude W. Shavlik
509 18222	Lisa Torrey
510 18223	Trevor Walker
511 18224	Edward W. Wild
8709 18229	Alex Dekhtyar
5221 18230	Judy Goldsmith
5231 18232	Hideki Asoh
5232 18238	Nobuyuki Otsu
1410 18239	Omid Madani
5290 18244	Hideaki Takeda
514 18248	Toramatsu Shintani
3254 18249	Jayant Madhavan
2580 18250	Philip A. Bernstein
2899 18251	Alon Y. Halevy
698 18254	Cynthia Matuszek
699 18255	Michael J. Witbrock
4570 18261	Bruce Blumberg
5908 18263	Mausam
518 18264	Brian Magerko
519 18265	Mazin Assanie
520 18266	Alex Kerfoot
521 18267	Devvan Stokes
3544 18279	Matthew V. Mahoney
5455 18292	Xuerui Wang
525 18293	Kevin McCarthy
526 18294	Lorraine McGinty
527 18295	James Reilly
4474 18301	Gregory F. Cooper
531 18317	Sudip Misra
1247 18330	Vasileios Hatzivassiloglou
609 18343	Paul Lu
5070 18354	Johanna D. Moore
6110 18360	Bamshad Mobasher
538 18370	Michael D. Moffitt
539 18371	Bart Peintner
542 18375	Matthew Molineaux
1605 18382	Donald Metzler
677 18386	Leonid Peshkin
546 18387	Thomas Andreas Meyer
547 18388	Rex Kwok
549 18389	Kevin Lee
550 18390	Richard Booth
5480 18391	Michael Montemerlo
4514 18401	Nada Lavrac
5195 18413	Attilio Giordana
4495 18414	Lorenza Saitta
5481 18431	Ben Wegbreit
5673 18446	Carlo Strapparava
553 18451	Tsoline Mikaelian
554 18452	Martin Sachenbacher
825 18454	Nic Wilson
8064 18487	Yan Qu
5705 18491	Robert Milne
2335 18505	Hiroshi Motoda
4666 18508	Marina Sokolova
602 18532	H¨¦ctor Mu?oz-Avila
4920 18533	Len Breslow
556 18562	Ani Nenkova
4163 18567	Jennifer Neville
4723 18580	XuanLong Nguyen
560 18583	Thomas J. Lee
5512 18602	Sanguk Noh
1650 18611	Un Yong Nahm
563 18613	Ranjit Nair
564 18614	Pradeep Varakantham
5497 18616	Kazuhiro Nakadai
5498 18618	Hiroshi G. Okuno
1566 18634	Ullas Nambiar
568 18659	Sang Min Oh
569 18660	James M. Rehg
5769 18661	Naoki Ohta
6750 18664	Manabu Okumura
8154 18667	Jun-ichi Tsujii
5316 18669	Tetsuo Ono
5317 18670	Michita Imai
5418 18687	Benson Limketkai
5687 18711	Lin Padgham
572 18718	Jeffrey Junfeng Pan
5518 18724	Kathy Panton
5519 18726	Nancy Salay
3335 18732	Panos Kalnis
2481 18733	Nikos Mamoulis
574 18740	Laxmi Parida
5538 18746	Austin Parker
577 18747	Grant Schoenebeck
1077 18751	Joel Sachs
8023 18759	Marius Pasca
5425 18760	Dekang Lin
848 18765	Hanna Pasula
581 18768	Relu Patrascu
582 18769	Gerald Tesauro
583 18770	William E. Walsh
5943 18775	Goutam Paul
3541 18788	Edwin P. D. Pednault
586 18797	William Pentney
587 18798	Marina Meila
834 18800	Matthai Philipose
5547 18804	Patrice Perny
5548 18805	Olivier Spanjaard
589 18807	Adrian Petcu
593 18818	Thanh Phong Pham
595 18819	John Thornton
596 18820	Abdelraouf Ishtaiwi
7734 18831	Massimo Poesio
599 18832	Nicola Policella
600 18833	Xiaofang Wang
603 18839	Marc J. V. Ponsen
604 18840	Pieter Spronck
606 18846	Ryan Porter
610 18847	Brett Poulin
611 18848	Roman Eisner
612 18849	David S. Wishart
613 18850	Alona Fyshe
614 18851	Brandon Pearcy
615 18854	Luca Pireddu
617 18873	Steven David Prestwich
618 18874	Francesca Rossi
619 18875	Kristen Brent Venable
621 18876	Robert Price
622 18877	Paul R. Messinger
3746 18883	Salvatore J. Stolfo
3760 18886	Tom Fawcett
5564 18892	Jean-Francois Puget
625 18893	Sushil Puradkar
626 18894	Sachin Singh
627 18895	Chintan Patel
628 18896	Kartik Vishwanath
629 18897	Rahul Gupta
5492 18901	David V. Pynadath
5570 18902	Guilin Qi
5571 18903	Weiru Liu
3815 18904	David A. Bell
5551 18913	Gilles Pesant
6294 18917	Filip Radlinski
633 18918	Sunna Torge
636 18922	Rajat Raina
637 18923	Christopher D. Manning
639 18929	Suju Rajan
640 18930	Kunal Punera
641 18931	Joydeep Ghosh
768 18938	Kaile Su
643 18940	Amit Ramesh
814 18944	Daniel M. Reeves
645 18959	Jiang Su
646 18960	Harry Zhang
5989 18967	R. Bharat Rao
652 19000	Shane Booth
653 19001	Markus Chimani
655 19007	Patrick Riley
1229 19009	Rosie Jones
657 19012	Jussi Rintanen
1488 19014	Sheng Ma
660 19027	Floris Roelofsen
4843 19029	Seth Rogers
663 19039	Sabyasachi Saha
3693 19042	Mehran Sahami
5596 19056	Michael T. Rosenstein
666 19064	Michael G. Ross
5614 19082	Subhash Suri
670 19095	Tian Sang
671 19096	Paul Beame
5674 19112	Oliviero Stock
5264 19114	Arthur C. Graesser
678 19116	Virginia Savova
681 19122	Fernando De la Torre
682 19123	Raju Patil
683 19124	Carlos Vallesp¨ª
2167 19129	Tobias Scheffer
691 19135	Paul W. Schermerhorn
692 19136	James F. Kramer
693 19137	Christopher Middendorff
685 19138	Matthias Scheutz
688 19142	Kathleen M. Eberhard
694 19144	M. Heilman
695 19145	P. Bui
2900 19176	AnHai Doan
700 19183	Blake Shepard
701 19184	C. Bruce Fraser
702 19185	William Wechtenhiser
703 19186	David Crabbe
704 19187	Zelal G¨¹ng?rd¨¹
705 19188	John Jantos
706 19189	Todd Hughes
707 19190	Larry Lefkowitz
708 19191	Erik Larson
710 19193	Alexander A. Sherstov
5632 19199	Debra Schreckenghost
5633 19201	Carroll Thronesbery
5741 19207	Justin Werfel
712 19215	Nathan Schurr
713 19216	Janusz Marecki
714 19217	John P. Lewis
715 19218	Paul Scerri
718 19221	Ji-Ae Shin
4910 19232	Ilya Shpitser
720 19252	Meinolf Sellmann
2814 19257	Vishal Sikka
722 19278	Teddy Candale
723 19279	Susnata Basak
728 19287	Saul Simhon
4785 19312	?zg¨¹r Simsek
4815 19313	Bryan Singer
1771 19315	Moninder Singh
5584 19317	Simon Parsons
734 19324	Sam Skrivan
735 19325	Debra S. Jusak
738 19326	Marjorie Skubic
739 19327	Derek Anderson
740 19328	Samuel Blisard
5662 19332	Aaron Sloman
5217 19346	Kostas Stergiou
745 19361	Phan Huy Tu
746 19362	A. Ricardo Morales
6336 19373	Ellen Spertus
749 19377	Mohan Sridharan
1785 19378	Rohini K. Srihari
752 19379	Jussi Vanhatalo
753 19380	Jana Koehler
9913 19383	Stefan Decker
3701 19385	Andreas Hotho
10050 19386	Alexander Maedche
800 19399	Boris Katz
755 19401	Alexander R. Statnikov
5598 19433	Peter Struss
760 19435	Xinlong Bao
761 19436	Anton N. Dragunov
762 19437	Kevin Johnsrude
763 19438	Lida Li
764 19439	Jianqiang Shen
769 19440	Xiangyu Luo
770 19441	Vineet Padmanabhan
1139 19446	Ronen Feldman
775 19498	Matthew E. Taylor
777 19512	Snehal Thakkar
2315 19520	Cynthia A. Thompson
779 19524	Stuart Bain
780 19525	Valnir Ferreira Jr.
5696 19542	Simon Tong
782 19546	Luz Abril Torres-M¨¦ndez
785 19550	Ethan J. Tira-Thompson
789 19555	Carran Shankland
4952 19561	Raul Trejo
4953 19562	Vladik Kreinovich
792 19563	Rudolph Triebel
794 19579	Xin Zhang
798 19580	Rattapoom Tuchinda
7214 19592	Jeffrey D. Ullman
801 19604	?zlem Uzuner
1636 19617	Ke Wang
1899 19618	Yabo Xu
6325 19619	Rong She
2336 19622	Takashi Washio
1064 19627	Elke A. Rundensteiner
4244 19634	Juan D. Vel¨¢squez
805 19639	Wei Wei
806 19640	Jordan Erenrich
4855 19644	Kilian Q. Weinberger
4799 19645	Lawrence K. Saul
808 19655	Olya Veselova
6084 19656	Sholom M. Weiss
6085 19661	Nitin Indurkhya
811 19670	Vincent Vidal
5737 19671	Corin R. Anderson
4573 19681	Amy R. Greenwald
815 19683	Kevin M. Lochner
816 19684	Shih-Fen Cheng
817 19685	Rahul Suri
821 19697	Christopher A. Welty
5458 19705	Stefan Wermter
880 19708	Kiri Wagstaff
5721 19712	Minglun Qian
823 19724	Shimon Whiteson
2287 19729	Gerhard Widmer
4861 19736	David Williams
4863 19745	Elly Winner
3246 19748	Marianne Winslett
4786 19757	Alicia P. Wolfe
4596 19758	Andrew G. Barto
4696 19760	Weng-Keen Wong
4867 19761	Michael Wagner
5624 19765	William A. Woods
827 19776	Robert E. Wray
828 19777	Andrew Nuxoll
832 19780	G. Michael Youngblood
835 19781	Danny Wyatt
836 19782	Tanzeem Choudhury
2350 19793	Zhi-Hua Zhou
839 19794	Gang Xiao
842 19795	Linli Xu
7617 19796	Koby Crammer
5773 19797	Li-Yan Yuan
6444 19805	Zhongfei (Mark) Zhang
4408 19812	Jinbo Bi
845 19823	Fan Li
5176 19825	Uzi Zahavi
10018 19832	Ke-Thia Yao
6194 19852	Yanhong Zhai
852 19863	Dou Shen
853 19864	Ze-Nian Li
1682 19867	Zhu Zhang
1683 19868	Sasha Blair-Goldensohn
1684 19869	Dragomir R. Radev
858 19871	Kap Luk Chan
5771 19877	Neil Yorke-Smith
865 19888	Liangxiao Jiang
869 19900	Michelle X. Zhou
870 19901	Keith Houck
871 19902	James Shaw
872 19903	Vikram Aggarwal
873 19904	Rosario Uceda-Sosa
6829 19906	Andy M. Yip
875 19907	Tingshao Zhu
876 19908	Gerald H?ubl
877 19909	Kevin Jewell
3329 19914	HweeHwa Pang
2645 19915	Xingquan Zhu
1712 19916	Xindong Wu
8790 19918	Yunyao Li
8791 19920	Huahai Yang
922 19922	H. V. Jagadish
4559 19924	Deng Cai
4560 19925	Xiaofei He
1623 19926	Jiawei Han
5151 19947	Ingrid Zukerman
5001 19953	Neil Burch
3241 19964	Gang Luo
2359 19968	Priyang Rathod
4730 19972	Marc Pickett
3722 19974	Karsten M. Borgwardt
2354 19979	Min-Ling Zhang
2276 19986	Maurice Bruynooghe
4552 19990	Andreas Krause
8512 19991	Joseph M. Hellerstein
4944 19992	Dorit Avrahami-Zilberbrand
1854 20009	Xiaojun Wan
4932 20014	Martin Allen
5752 20030	Michael Zakharyaschev
1876 20033	Masaru Kitsuregawa
4614 20040	William G. Kennedy
2293 20048	Guy Shani
4686 20049	H. Brendan McMahan
4600 20051	Dan Klein
5715 20063	Tony Veale
1356 20073	Prasenjit Mitra
5292 20087	Katsumi Inoue
5293 20088	Chiaki Sakama
5789 20104	Xenofon D. Koutsoukos
3552 20105	Yi-Dong Shen
5422 20106	Jia-Huai You
5341 20122	Laurence A. Kramer
2864 20131	Gao Cong
5426 20134	Ming Zhou
1494 20146	Zheng Chen
5909 20164	Deepak Verma
2566 20173	Hai Lin
5156 20175	Ulrich Endriss
5157 20176	Nicolas Maudet
6229 20178	Kenny Daniel
5642 20181	Heiner Stuckenschmidt
3577 20185	Christopher Meek
5009 20187	Thomas Bittner
5010 20188	Maureen Donnelly
5639 20190	Andrei Tamilin
1189 20197	Colm O'Riordan
2904 20207	Timothy Edmunds
1914 20222	Qiankun Zhao
3739 20229	Nitesh V. Chawla
5055 20233	Mehdi Dastani
5376 20239	Christophe Lecoutre
5260 20244	Pascal Hitzler
2255 20265	Changshui Zhang
3648 20284	Ricardo Vilalta
4636 20289	Xiaojin Zhu
7042 20297	Nathalie Pernelle
1968 20308	Gui-Rong Xue
5226 20325	Alban Grastien
3624 20330	Feng Pan
5648 20332	Afsaneh Shirazi
5377 20344	St¨¦phane Cardon
7149 20353	Peter Widmayer
2398 20354	Andrea Pugliese
1543 20357	Sofus A. Macskassy
4499 20361	Shie Mannor
7809 20364	Ruihua Song
2080 20365	Ji-Rong Wen
1579 20370	James Mayfield
4962 20385	Yoram Bachrach
4489 20415	Dan Ventura
2266 20429	Jan Peters
5244 20439	Cosmin Adrian Bejan
4193 20458	Glenn Fung
1855 20474	Yuxin Peng
7079 20485	Vittorio Castelli
5192 20497	Ian Miguel
5218 20498	Peter Nightingale
5285 20515	Frank Hutter
5286 20516	Thomas St¨¹tzle
5314 20523	Yi Jin
10066 20544	Luke McDowell
4921 20545	Kalyan Moy Gupta
10043 20561	Eytan Adar
4690 20580	Ashutosh Saxena
5324 20581	Robert A. Morris
5325 20583	Lina Khatib
5101 20607	Martin C. Cooper
5609 20608	Mart¨ª S¨¢nchez
5207 20609	Matthias Zytnicki
4280 20615	Jun Wang
8645 20622	Wolfgang Faber
5223 20623	Gianluigi Greco
7175 20624	Nicola Leone
2848 20629	Jan Chomicki
5028 20630	Piero A. Bonatti
5039 20644	Bob Price
7348 20674	Ravi Kothari
5178 20690	Christian Fritz
1495 20709	Shuicheng Yan
8308 20728	Cong Yu
6798 20732	Songcan Chen
6839 20735	Chi-Hoon Lee
4851 20737	Shaojun Wang
3192 20761	K. Sel?uk Candan
1467 20768	Yunbo Cao
7855 20769	Hae-Chang Rim
1140 20775	Yonatan Aumann
6751 20777	Hiroya Takamura
4752 20798	David R. Karger
3747 20799	Matthew Miller
5470 20826	Brian Milch
4852 20836	Li Cheng
5137 20848	Manuel Cebri¨¢n
5688 20853	John Thangarajah
5689 20854	Michael Winikoff
5360 20858	S¨¦bastien Lahaie
4857 20864	Max Welling
5281 20870	Boris Motik
4997 20883	Zeynep Kiziltan
2460 20903	Anthony Tomasic
5446 20941	Suresh Manandhar
5115 21084	Luca Console
5116 21085	Daniele Theseider Dupr¨¦
6404 21087	Geoffrey I. Webb
8936 21128	Thomas R. Gross
8132 21142	Gabriel Somlo
5188 21324	Guilherme Bittencourt
9615 21385	Shu Lin
1866 21915	Francis Y. L. Chin
3766 22014	Kun Liu
3466 22042	Xiaodong Wu
3209 22060	Kirk Pruhs
4804 22116	Malcolm J. A. Strens
3354 22168	Rudolf Bayer
7354 22221	Sergio Bittanti
2301 22275	Ivan Bratko
6058 22319	David Harel
7216 22410	Anca Muscholl
4736 22432	Zoubin Ghahramani
8641 22475	Jim Gray
2828 22511	Pascal Felber
8548 22512	Timothy Roscoe
5162 22579	Giovanni Semeraro
6525 22597	Yves Kodratoff
8264 22796	Michael E. Tipping
10166 22859	Lorenzo Alvisi
9965 22860	Michael Dahlin
8303 22861	Elad Yom-Tov
6090 22868	Blaz Zupan
6091 22870	Janez Demsar
7674 22978	Guangyou Xu
3935 22981	Longin Jan Latecki
4145 23145	Pei Sun
6585 23185	Yasuaki Nakamura
4758 23257	Pushpak Bhattacharyya
3972 23315	Chandra Kambhamettu
2181 23346	Meng Chang Chen
4737 23388	Rosalind W. Picard
8269 23565	HongJiang Zhang
2308 23631	Guoqiang Yu
4336 23723	Chi Lap Yip
3794 23882	Huidong Jin
1451 24026	Alistair Moffat
1452 24028	Justin Zobel
6567 24147	Vladimir Estivill-Castro
9429 24152	Robert W. Irving
6206 24234	Ting Liu
6688 24254	Pong Chi Yuen
5967 24330	Rong Chen
6074 24623	Udo Grimmer
960 24692	Qi He
3580 25056	Kotagiri Ramamohanarao
1889 25144	Ming Gu
1790 25581	Alexandre X. Falc?o
2017 25739	Alan F. Smeaton
7683 25826	Yueting Zhuang
3542 26030	Naoki Abe
4460 26083	Mehryar Mohri
8147 26093	Amanda Stent
5756 26110	Fei Xia
1894 26119	John D. Lafferty
7282 26135	Shivakumar Vaithyanathan
7450 26138	Julio Gonzalo
1365 26140	Nicholas J. Belkin
7451 26145	Felisa Verdejo
1923 26175	Shlomo Argamon
10057 26197	Necip Fazil Ayan
985 26251	Thorsten Brants
8496 26301	David Campbell
1468 26304	Hang Li
7464 26311	Ben Carterette
4590 26320	Joyce Y. Chai
8286 26322	Chen Zhang
1665 26346	Zheng-Yu Niu
4071 26354	Lee-Feng Chien
7581 26360	Pu-Jen Cheng
4072 26361	Wen-Hsiang Lu
7582 26362	Jei-Wen Teng
5483 26365	Yoong Keok Lee
2072 26394	Paul Clough
5625 26396	Yorick Wilks
7569 26434	Simon Corston-Oliver
915 26466	Silviu Cucerzan
7428 26479	Lillian Lee
4634 26480	Fernando C. N. Pereira
1421 26505	Jimmy J. Lin
7704 26529	Changning Huang
5152 26562	Stephanie Elzer
5153 26563	Daniel Chester
5154 26564	Seniz Demir
8014 26576	David A. Evans
1324 26577	ChengXiang Zhai
986 26587	Francine Chen
1802 26629	Atsushi Fujii
1803 26630	Tetsuya Ishikawa
6217 26636	Toshikazu Fukushima
7698 26656	Jianfeng Gao
1015 26657	Guihong Cao
1852 26660	Bin Yu
7699 26664	Xinsong Xia
2007 26682	¨¦ric Gaussier
2008 26685	Cyril Goutte
7529 26699	Zhenmei Gu
2097 26733	Alessandro Moschitti
5245 26780	Paul Morarescu
7749 26785	Hilda Hardy
7750 26786	Tomek Strzalkowski
8065 26800	Gregory Grefenstette
4405 26807	Yasemin Altun
5348 26855	Jonas Kuhn
5283 26867	Ben Hutchinson
10058 26871	Okan Kolak
7787 26887	Naomi Inoue
7915 26900	Sung-Hyon Myaeng
1327 26907	Valentin Jijkoun
1328 26908	Maarten de Rijke
10121 26910	Kumiko Tanaka-Ishii
1238 26958	Robert Krovetz
7984 26979	Haizhou Li
6218 27000	Kenji Yamanishi
1353 27020	Min-Yen Kan
7775 27029	Young-Suk Lee
7856 27033	Heui-Seok Lim
7776 27040	Clifford J. Weinstein
5698 27048	Pietro Torasso
2316 27053	Roger Levy
4206 27060	Reinhard Rapp
4676 27064	Zvika Marx
7985 27077	Bin Ma
7830 27084	Vijay Krishnan
7929 27085	Wenjie Li
8196 27086	Kam-Fai Wong
7930 27089	Mingli Wu
7931 27090	Qin Lu
6852 27096	Yang Zhang
4525 27099	Benjamin Taskar
1012 27110	Iadh Ounis
7705 27142	Endong Xun
1016 27183	Jian-Yun Nie
7894 27195	Bernardo Magnini
8155 27237	Yoshimasa Tsuruoka
4858 27246	Yee Whye Teh
2271 27253	Minh Le Nguyen
2272 27255	Xuan Hieu Phan
4171 27286	Tadashi Nomoto
7946 27287	G. Craig Murray
3070 27299	Alexandros Ntoulas
7953 27309	Hiroshi Nakagawa
5023 27353	Branimir Boguraev
6185 27361	Patrick Pantel
6087 27408	Rebecca N. Wright
4517 27428	Chin-Hui Lee
1685 27462	Hong Qi
1686 27473	John M. Prager
7735 27475	Anne N. De Roeck
1141 27491	Binyamin Rosenfeld
2122 27498	Patrick Ruch
8076 27507	Fatiha Sadat
2159 27528	Guodong Zhou
3505 27532	Lei Shi
7751 27539	Nobuyuki Shimizu
2074 27633	Mark Stevenson
7752 27641	G. Bowden Wise
2319 27653	Kristina Toutanova
4975 27712	Maria Teresa Pazienza
5765 27786	Nianwen Xue
7862 27804	Sudeshna Sarkar
8157 27810	Andrew Turpin
5107 27836	Einat Minkov
7632 27872	Fred Damerau
4367 27883	Bing Zhao
4674 27884	Eric P. Xing
5394 27889	Galen Andrew
4463 27961	Jason Weston
7944 27966	Olena Medelyan
2099 27968	Roberto Basili
1112 27978	Andrea Esuli
1113 27979	Fabrizio Sebastiani
1809 28003	Songbo Tan
7456 28009	Khurshid Ahmad
6164 28015	Shan Wang
1325 28020	Jing Jiang
8061 28055	Fazli Can
1033 28259	Edward A. Fox
2862 28305	Vijay Kumar
1458 28315	Soon Myoung Chung
2409 28499	Ming-Chien Shan
1297 28826	Il-Yeol Song
5980 28899	Geneva G. Belford
3216 29026	Yiu-Kai Ng
2495 29037	David B. Lomet
3876 29088	Veljko M. Milutinovic
9976 29309	Gail E. Kaiser
5925 29315	Gregg T. Vesonder
1981 29477	Michael J. Donahoo
3979 29676	Fu Tong
1589 29751	Qiang Wang
3064 29838	Stanley B. Zdonik
6709 29868	Ming Zhang
5626 29883	Terry Winograd
2561 29889	Alfons Kemper
2955 29934	Jeffrey Scott Vitter
5926 29950	Jon R. Wright
9822 29984	Chao Yao
9110 29987	Sushil Jajodia
6490 30019	Ee-Chien Chang
4102 30066	Wenliang Du
3410 30084	Mikhail J. Atallah
6207 30092	Ke Yang
3748 30103	Wenke Lee
9420 30146	Gene Tsudik
6837 30177	Kwong H. Yung
1050 30185	Amitabha Das
8784 30258	Jin Li
3596 30277	Shakil M. Khan
2704 30359	Luc Bouganim
2924 30360	Daniela Florescu
